y,x,d,t
-3,-3,-3,-3
1,8,0,2
1,9,0,2
1,10,0,2
1,11,0,2
1,12,0,2
2,8,0,2
2,9,0,2
2,10,0,2
2,11,0,2
2,12,0,2
3,8,0,2
3,9,0,2
3,10,0,2
3,11,0,2
3,12,0,2
4,8,0,2
4,9,0,2
4,10,0,2
4,11,0,2
4,12,0,2
5,8,0,2
5,9,0,2
5,10,0,2
5,11,0,2
5,12,0,2
10,1,0,2
10,19,0,3
12,1,0,3
12,19,0,2
17,8,0,3
17,9,0,3
17,10,0,3
17,11,0,3
17,12,0,3
18,8,0,3
18,9,0,3
18,10,0,3
18,11,0,3
18,12,0,3
19,8,0,3
19,9,0,3
19,10,0,3
19,11,0,3
19,12,0,3
20,8,0,3
20,9,0,3
20,10,0,3
20,11,0,3
20,12,0,3
21,8,0,3
21,9,0,3
21,10,0,3
21,11,0,3
21,12,0,3
-1,-1,-1,-1
-4,-4,-4,-4
21,9,1,4
1,8,1,5
-2,-2,-2,-2
-4,-4,-4,-4
21,9,2,4
1,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
20,9,2,4
1,10,1,5
-2,-2,-2,-2
-4,-4,-4,-4
19,9,2,4
1,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
18,9,2,4
1,11,2,5
-2,-2,-2,-2
-4,-4,-4,-4
18,9,3,4
1,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
18,8,3,4
1,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
18,8,2,4
1,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,8,2,4
2,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,8,1,4
3,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,9,1,4
4,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,10,1,4
4,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
17,11,1,4
4,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
17,11,2,4
5,12,0,5
-2,-2,-2,-2
-4,-4,-4,-4
16,11,2,4
5,12,3,5
-2,-2,-2,-2
-4,-4,-4,-4
15,11,2,4
5,11,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,11,2,4
5,10,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,11,3,4
5,9,3,5
-2,-2,-2,-2
-4,-4,-4,-4
14,10,3,4
5,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
14,9,3,4
6,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
14,8,3,4
7,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
14,8,0,4
8,9,0,5
-2,-2,-2,-2
-4,-4,-4,-4
14,8,3,4
8,9,1,5
-2,-2,-2,-2
-4,-4,-4,-4
14,7,3,4
8,10,1,5
-2,-2,-2,-2
-4,-4,-4,-4
14,6,3,4
8,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
14,6,2,4
8,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,6,2,4
8,12,2,5
-2,-2,-2,-2
-4,-4,-4,-4
12,6,2,4
8,12,1,5
-2,-2,-2,-2
-4,-4,-4,-4
11,6,2,4
8,13,1,5
-2,-2,-2,-2
-4,-4,-4,-4
11,6,3,4
8,14,1,5
-2,-2,-2,-2
-4,-4,-4,-4
11,5,3,4
8,14,0,5
-2,-2,-2,-2
-3,-3,-3,-3
11,5,0,0
-1,-1,0,0
-4,-4,-4,-4
11,4,3,4
9,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,3,3,4
10,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
11,3,0,4
11,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
12,3,0,4
11,14,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
11,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
12,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
13,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
13,14,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
13,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
14,14,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
14,14,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
14,13,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,0,4
14,12,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,3,4
14,11,3,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,3,4
14,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,3,4
15,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,2,4
16,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,1,1,4
17,11,0,5
-2,-2,-2,-2
-4,-4,-4,-4
13,2,1,4
17,11,1,5
-2,-2,-2,-2
-4,-4,-4,-4
13,3,1,4
